Column,Meaning
ARREST_KEY, Randomly generated persistent ID for each arrest
ARREST_DAT, Exact date of arrest for the reported event
PD_C, Three digit internal classification code (more granular than Key Code)
PD_DESC, Description of internal classification corresponding with PD code (more granular than Offense Description)
KY_CD, Three digit internal classification code (more general category than PD code)
OFNS_DESC, Description of internal classification corresponding with KY code (more general category than PD description)
LAW_CODE, Law code charges corresponding to the NYS Penal Law, VTL and other various local laws
LAW_CAT_CD, Level of offens: felony, misdemeanor, violation
ARREST_BORO, Borough of arrest B(Bronx), S(Staten Island), K(Brooklyn), M(Manhattan), Q(Queens)
ARREST_PRECINCT, Precinct where the arrest occurred
JURISDICTION_CODE, Jurisdiction responsible for arrest. Jurisdiction codes (0(Patrol), 1(Transit) and 2(Housing)) represent NYPD whilst codes 3 and more represent non NYPD jurisdictions
AGE_GROUP, Perpetrator’s age within a category
PERP_SEX, Perpetrator’s sex description
PERP_RACE, Perpetrator’s race description
X_COORD_CD, Midblock X-coordinate for New York State Plane Coordinate System, Long Island Zone, NAD 83, units feet (FIPS 3104)
Y_COORD_CD, Midblock Y-coordinate for New York State Plane Coordinate System, Long Island Zone, NAD 83, units feet (FIPS 3104)
Latitude, Latitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326)
Longitude, Longitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326)
